Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Name-additional
1,CJ Abrams*,22,WSN,NL,119,469,433,62,109,22,4,14,49,33,3,20,93,0.252,0.303,0.418,0.721,99,181,6,12,3,1,0,*6/H,abramcj01
2,José Abreu,36,HOU,AL,111,469,428,43,100,17,0,10,57,0,1,31,106,0.234,0.29,0.343,0.633,73,147,12,5,0,5,1,*3/D,abreujo02
3,Wilyer Abreu*,24,BOS,AL,3,14,12,3,6,2,0,1,5,0,1,2,2,0.5,0.571,0.917,1.488,293,11,0,0,0,0,0,/879,abreuwi02
4,Ronald Acuna Jr.,25,ATL,NL,126,582,505,113,169,30,2,28,74,58,11,68,72,0.335,0.419,0.568,0.988,162,287,12,7,0,2,2,*9,acunaro01
5,Willy Adames,27,MIL,NL,115,495,435,54,93,18,0,21,60,4,3,48,132,0.214,0.296,0.4,0.696,89,174,10,5,0,5,0,*6/D,adamewi01
6,Jordyn Adams,23,LAA,AL,10,14,14,0,2,0,0,0,0,0,0,0,6,0.143,0.143,0.143,0.286,-22,2,0,0,0,0,0,/8H9,adamsjo03
7,Riley Adams,27,WSN,NL,35,135,122,8,36,12,2,4,19,0,0,11,37,0.295,0.358,0.525,0.883,143,64,5,1,1,0,0,2,adamsri03
8,Ty Adcock,26,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,adcocty01
9,Jo Adell,24,LAA,AL,5,14,13,2,3,1,1,1,3,0,0,1,6,0.231,0.286,0.692,0.978,153,9,0,0,0,0,0,/8D7H9,adelljo01
10,Ehire Adrianza#,33,ATL,NL,5,11,10,0,0,0,0,0,0,0,0,1,4,0,0.091,0,0.091,-72,0,0,0,0,0,0,/H6,adriaeh01
11,Jesús Aguilar,33,OAK,AL,36,115,104,8,23,2,0,5,9,0,0,8,31,0.221,0.281,0.385,0.665,89,40,3,1,0,1,2,3/DH,aguilje01
12,Nick Ahmed,33,ARI,NL,65,193,183,14,41,10,1,2,17,5,1,10,47,0.224,0.264,0.322,0.587,61,59,0,0,0,0,0,6/HD,ahmedni01
13,Hanser Alberto,30,CHW,AL,30,90,82,11,18,5,0,3,16,0,0,4,13,0.22,0.261,0.39,0.652,76,32,1,1,2,1,0,54/31H,alberha01
14,Ozzie Albies#,26,ATL,NL,117,510,457,75,122,21,4,28,90,11,0,36,83,0.267,0.327,0.514,0.841,121,235,6,8,0,7,2,*4,albieoz01
15,Scott Alexander*,33,SFG,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,alexasc02
16,Jorge Alfaro,30,TOT,MLB,18,52,48,2,7,4,0,1,4,0,0,2,15,0.146,0.212,0.292,0.503,31,14,3,2,0,0,0,/D2H,alfarjo01
17,Jorge Alfaro,30,COL,NL,10,32,31,2,5,4,0,1,4,0,0,0,12,0.161,0.188,0.387,0.575,43,12,2,1,0,0,0,/DH2,alfarjo01
18,Jorge Alfaro,30,BOS,AL,8,20,17,0,2,0,0,0,0,0,0,2,3,0.118,0.25,0.118,0.368,5,2,1,1,0,0,0,/2DH,alfarjo01
19,Greg Allen#,30,NYY,AL,22,28,23,6,5,1,1,1,1,3,1,2,10,0.217,0.333,0.478,0.812,121,11,0,2,1,0,0,7H/98D,allengr01
20,Nick Allen,24,OAK,AL,76,229,210,19,41,2,1,3,11,4,1,13,39,0.195,0.244,0.257,0.502,45,54,5,1,4,1,0,6/H4D,allenni02
21,Abraham Almonte#,34,NYM,NL,7,15,14,1,1,1,0,0,0,0,0,1,8,0.071,0.133,0.143,0.276,-23,2,0,0,0,0,0,/HD79,almonab01
22,Pete Alonso,28,NYM,NL,120,509,441,73,98,13,2,39,95,4,1,50,110,0.222,0.322,0.526,0.848,130,232,16,16,0,2,1,*3/D,alonspe01
23,Jose Altuve,33,HOU,AL,58,260,223,47,70,14,1,9,29,13,2,34,45,0.314,0.408,0.507,0.914,149,113,5,2,0,1,0,4/DH,altuvjo01
24,Jake Alu*,26,WSN,NL,22,72,67,6,16,1,0,1,10,3,0,3,22,0.239,0.278,0.299,0.576,62,20,1,1,0,1,0,4/7H5,aluja01
25,Francisco Alvarez,21,NYM,NL,96,340,310,43,67,8,0,21,46,0,0,26,85,0.216,0.285,0.445,0.73,99,138,11,4,0,0,0,*2H/D,alvarfr01
26,Yordan Alvarez*,26,HOU,AL,81,346,291,57,81,15,1,21,68,0,0,45,72,0.278,0.384,0.553,0.938,153,161,6,7,0,3,3,D7,alvaryo01
27,Jacob Amaya,24,MIA,NL,4,9,9,1,2,0,0,0,2,1,0,0,1,0.222,0.222,0.222,0.444,23,2,0,0,0,0,0,/64,amayaja01
28,Miguel Amaya,24,CHC,NL,39,121,99,14,24,4,0,4,17,0,0,9,29,0.242,0.367,0.404,0.771,106,40,2,11,1,1,0,2/DH,amayami01
29,Brian Anderson,30,MIL,NL,93,355,312,37,70,11,3,9,40,0,3,36,107,0.224,0.31,0.365,0.675,85,114,10,4,0,3,0,59/DH,anderbr06
30,Tim Anderson,30,CHW,AL,94,407,380,39,92,13,1,1,22,12,1,22,91,0.242,0.287,0.289,0.577,60,110,14,3,0,2,0,*6/4H,anderti01
31,Elvis Andrus,34,CHW,AL,91,330,301,32,72,15,1,5,35,11,4,22,57,0.239,0.298,0.346,0.643,76,104,5,4,1,2,1,46/H5D,andruel01
32,Miguel Andujar,28,PIT,NL,13,33,31,2,5,1,0,2,6,0,0,2,5,0.161,0.212,0.387,0.599,58,12,0,0,0,0,0,9/HD,andujmi01
33,Jonathan Aranda*,25,TBR,AL,9,26,23,3,4,1,0,1,3,0,0,3,10,0.174,0.269,0.348,0.617,71,8,1,0,0,0,0,/3DH,arandjo01
34,Jonathan Araúz#,24,NYM,NL,17,52,46,2,5,0,0,2,6,0,0,5,14,0.109,0.196,0.239,0.435,20,11,1,0,1,0,0,/456,arauzjo01
35,Orlando Arcia,28,ATL,NL,105,402,368,52,102,17,0,14,47,1,0,31,76,0.277,0.336,0.438,0.773,106,161,13,2,0,1,0,*6,arciaor01
36,Nolan Arenado,32,STL,NL,122,519,474,60,134,24,2,26,87,2,3,35,89,0.283,0.331,0.506,0.838,126,240,19,3,0,7,4,*5D/H,arenano01
37,Gabriel Arias,23,CLE,AL,97,246,220,23,46,7,0,8,16,2,4,26,82,0.209,0.293,0.35,0.643,80,77,7,0,0,0,0,36H95/D4,ariasga01
38,Randy Arozarena,28,TBR,AL,123,530,447,79,117,13,2,20,73,15,9,64,126,0.262,0.37,0.434,0.804,124,194,7,15,0,4,0,*7D/H,arozara01
39,Luis Arraez*,26,MIA,NL,122,516,476,53,169,27,3,5,58,1,2,32,30,0.355,0.398,0.456,0.854,134,217,15,4,1,3,8,*4/H3D,arraelu01
40,Christian Arroyo,28,BOS,AL,66,206,195,23,47,16,0,3,24,1,3,7,45,0.241,0.268,0.369,0.638,70,72,8,1,1,2,0,4/H56,arroych01
41,José Azocar,27,SDP,NL,32,59,55,9,13,3,0,0,3,6,1,1,13,0.236,0.25,0.291,0.541,52,16,0,0,3,0,0,9H/87D,azocajo01
