Rk,Name,Age,Tm,IP,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR,Name-additional
1,Fernando Abad*,37,COL,6.1,6,6,2,1,0,0,0,0,,0,0,2,2,100%,8,0.432,0,2,4,0,1,5,1,5,2,1,3,1,3.2,24,abadfe01
2,Cory Abbott,27,WSN,27.2,16,16,9,1,2,0,0,0,,0,0,7,5,71%,8,0.4,3,2,11,0,3,13,3,13,10,2,10,0,5.2,33,abbotco01
3,Albert Abreu,27,NYY,55,42,42,18,2,2,0,0,0,,3,3,17,11,65%,7,0.392,8,2,32,9,4,29,12,30,18,7,22,2,3.9,23,abreual01
4,Bryan Abreu,26,HOU,59,60,60,13,3,2,8,4,4,50%,29,21,15,5,33%,8,1.45,22,20,18,37,10,13,9,51,4,5,4,11,3,17,abreubr01
5,Domingo Acevedo,29,OAK,9.1,9,9,1,0,0,2,0,2,0%,4,2,7,5,71%,6,1.075,4,3,2,4,1,4,3,6,2,2,2,1,3.1,19,acevedo01
6,Garrett Acton,25,OAK,5.2,6,6,3,0,0,0,0,0,,0,0,4,2,50%,8,0.898,1,3,2,0,1,5,3,3,2,3,2,1,2.8,21,actonga01
7,Jason Adam,31,TBR,52,53,53,21,4,2,17,11,6,65%,27,10,9,2,22%,8,1.485,23,16,14,39,9,5,5,48,2,6,2,7,2.9,16,adamja01
8,Austin Adams,32,ARI,17.1,24,24,1,0,1,1,0,1,0%,8,7,13,2,15%,8,0.893,5,7,12,10,1,13,9,15,1,12,4,1,2.2,15,adamsau02
9,Ty Adcock,26,SEA,15.2,12,12,4,0,0,0,0,0,,0,0,7,0,0%,7,0.416,2,3,7,4,1,7,4,8,6,2,6,2,3.9,17,adcocty01
10,Joan Adon,24,WSN,18,5,2,2,0,0,0,0,0,,0,0,0,0,,7,0.617,0,0,2,0,0,2,0,2,2,0,2,0,7.5,44,adonjo01
11,Keegan Akin*,28,BAL,23.2,24,23,7,2,2,0,0,0,,3,3,11,5,45%,7,0.755,4,5,14,7,2,14,11,12,7,10,8,3,3,19,akinke01
12,Hanser Alberto,30,CHW,1.2,2,2,2,0,0,0,0,0,,0,0,0,0,,9,0,0,0,2,0,0,2,0,2,0,1,0,0,2.5,17,alberha01
