Rk,Name,Age,Tm,IP,G,GS,Wgs,Lgs,ND,Wchp,Ltuf,Wtm,Ltm,tmW-L%,Wlst,Lsv,CG,SHO,QS,QS%,GmScA,Best,Wrst,BQR,BQS,sDR,lDR,RS/GS,RS/IP,IP/GS,Pit/GS,<80,80-99,100-119,≥120,Max,Name-additional
1,Andrew Abbott*,24,CIN,85.1,15,15,8,3,4,3,1,12,3,0.8,1,0,0,0,8,53%,57.1,84,25,7,0,0,7,4.8,4.6,5.7,95,2,6,7,0,113,abbotan01
2,Joan Adon,24,WSN,18,5,3,1,0,2,0,0,3,0,1,0,1,0,0,1,33%,45.3,61,27,0,0,0,3,8.3,6.2,4.3,74,2,1,0,0,86,adonjo01
3,Keegan Akin*,28,BAL,23.2,24,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0%,46,46,46,12,8,1,0,8,0,1,25,1,0,0,0,25,akinke01
4,Sandy Alcantara,27,MIA,171,26,26,6,11,9,0,2,10,16,0.385,4,2,3,1,12,46%,53.6,85,9,17,5,0,16,3.9,3.8,6.6,97,1,15,10,0,116,alcansa01
5,Scott Alexander*,33,SFG,39,46,7,0,2,5,0,0,3,4,0.429,0,0,0,0,0,0%,47.3,56,32,16,9,6,0,3,1.3,0.9,14,7,0,0,0,19,alexasc02
6,Tyler Alexander*,28,DET,44,25,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0%,56,56,56,4,3,0,1,0,0,3,45,1,0,0,0,45,alexaty01
7,Kolby Allard*,25,ATL,12.1,4,3,0,1,2,0,0,1,2,0.333,1,0,0,0,0,0%,46.3,65,25,4,0,0,3,3,4.9,3.8,60,3,0,0,0,73,allarko01
8,Logan Allen*,24,CLE,103.1,19,19,6,6,7,1,2,12,7,0.632,1,3,0,0,7,37%,53.8,79,29,8,0,0,14,4.8,4.2,5.4,91,2,14,3,0,104,allenlo02
9,Chase Anderson,35,TOT,60.2,14,12,0,4,8,0,0,6,6,0.5,3,2,0,0,2,17%,,67,1,9,5,0,8,5,4.3,4.6,79,4,8,0,0,93,anderch01
10,Chase Anderson,35,COL,55.2,12,12,0,4,8,0,0,6,6,0.5,3,2,0,0,2,17%,42.3,67,1,9,5,0,8,5,4.3,4.6,79,4,8,0,0,93,anderch01
11,Tyler Anderson*,33,LAA,117.2,23,21,5,4,12,3,1,11,10,0.524,3,5,0,0,6,29%,45.5,66,20,13,8,0,21,5.2,5.1,5.2,91,1,15,5,0,109,anderty01
12,Shawn Armstrong,32,TBR,38,25,5,0,0,5,0,0,4,1,0.8,0,0,0,0,0,0%,55.4,58,54,6,1,4,1,3.6,0,2.2,32,5,0,0,0,44,armstsh01
