Name,PrimaryPos,AB,Z_R,Z_HR,Z_RBI,Z_SB,Z_BB,Z_AVG,Z_SLG,Score,$
Ronald Acuna Jr.,OF,505,5.183,3.519,3.255,7.237,3.823,7.503,5.438,5.136857142857144,17.93
Shohei Ohtani*,DH,467,4.516,5.604,3.865,2.121,4.37,3.942,6.404,4.403142857142858,15.37
Mookie Betts,OF,468,4.772,4.301,4.017,1.248,4.066,5.99,5.961,4.336428571428571,15.14
Freddie Freeman*,1B,500,4.567,2.606,3.662,2.121,3.035,5.671,4.988,3.8071428571428574,13.29
Matt Olson*,1B,474,4.259,5.213,4.832,0.125,4.613,2.131,5.168,3.7630000000000003,13.14
Kyle Tucker*,OF,458,3.079,3.128,4.323,2.995,3.399,5.115,4.121,3.7371428571428575,13.05
Corbin Carroll*,OF,440,3.951,2.737,2.746,4.741,2.488,4.343,3.833,3.548428571428571,12.39
Julio Rodríguez,OF,519,3.284,2.607,3.56,4.242,2.063,4.559,3.007,3.3317142857142863,11.63
Christian Yelich*,OF,476,3.9,1.955,2.899,3.369,3.459,4.858,2.791,3.318714285714286,11.59
Bobby Witt,SS,514,3.027,3.258,3.713,4.617,1.154,3.201,4.216,3.3122857142857147,11.56
Adolis García,OF,468,4.054,3.91,4.221,0.998,2.913,3.211,3.797,3.3005714285714283,11.52
Juan Soto*,OF,448,2.874,2.998,3.356,0.749,6.13,3.52,3.323,3.2785714285714285,11.44
Luis Robert Jr.,OF,464,3.438,4.301,3.0,1.996,1.335,3.828,4.865,3.251857142857143,11.35
Corey Seager*,SS,336,2.617,2.998,3.509,0.249,1.943,4.94,5.844,3.1571428571428575,11.02
Cody Bellinger*,OF,363,3.079,2.476,2.949,2.121,1.517,5.733,4.171,3.1494285714285715,10.99
Marcus Semien,2B,528,4.311,2.606,3.713,1.622,3.096,3.17,2.755,3.039,10.61
Austin Riley,3B,502,4.054,3.779,3.306,0.374,2.367,3.437,3.751,3.009714285714286,10.51
Lane Thomas,OF,503,3.746,2.476,3.0,1.872,1.578,4.878,3.269,2.9741428571428563,10.38
Randy Arozarena,OF,447,3.438,2.476,3.204,1.872,3.581,3.653,2.349,2.939,10.26
José Ramírez#,3B,475,3.079,2.476,2.848,2.495,3.095,3.417,3.138,2.9354285714285715,10.25
Rafael Devers*,3B,464,3.079,3.779,3.866,0.249,2.488,3.087,3.977,2.9321428571428574,10.24
Francisco Lindor#,SS,474,3.489,2.867,3.56,2.745,2.671,1.873,3.31,2.9307142857142856,10.23
Ozzie Albies#,2B,457,3.182,3.649,4.221,1.372,1.821,2.439,3.612,2.8994285714285715,10.12
Aaron Judge,OF,255,2.258,3.519,2.288,0.374,3.156,3.901,4.739,2.8907142857142856,10.09
Fernando Tatis Jr.,OF,445,2.976,2.476,2.848,2.87,2.124,3.602,2.881,2.8252857142857146,9.86
Kyle Schwarber*,OF,461,3.438,4.301,3.611,0.0,5.644,0.0,2.489,2.7832857142857144,9.72
Wander Franco#,SS,442,2.617,2.085,2.543,3.743,2.003,3.005,3.332,2.761142857142857,9.64
Ha-Seong Kim,2B,422,3.028,2.215,2.136,3.494,3.156,2.933,2.2,2.737428571428572,9.56
Christian Walker,1B,464,2.72,3.258,3.611,0.998,2.731,2.182,3.644,2.7348571428571424,9.55
Nolan Arenado,3B,474,2.463,3.388,3.815,0.249,1.82,3.653,3.742,2.732857142857143,9.54
Josh Lowe*,OF,359,2.155,2.085,2.949,3.119,1.092,4.292,3.346,2.7197142857142858,9.49
Alex Bregman,3B,493,3.387,2.606,3.611,0.374,4.127,2.439,2.119,2.6661428571428574,9.31
Pete Alonso,1B,441,2.976,4.691,4.171,0.499,2.61,0.0,3.585,2.6474285714285712,9.24
Nick Castellanos,OF,501,2.72,2.607,3.458,0.873,1.274,4.415,3.08,2.6324285714285716,9.19
Ketel Marte#,2B,462,3.387,2.606,2.848,0.749,2.853,2.82,2.84,2.5861428571428573,9.03
Anthony Santander#,OF,452,2.617,2.998,3.0,0.374,2.549,3.211,3.292,2.5772857142857144,9.0
Yandy Díaz,1B,429,3.181,1.694,2.645,0.0,2.61,4.632,3.049,2.5444285714285715,8.88
Isaac Paredes,3B,381,2.412,3.388,3.459,0.125,2.367,2.356,3.526,2.5190000000000006,8.79
Chas McCormick,OF,300,1.796,2.346,2.288,1.747,1.699,4.178,3.567,2.517285714285714,8.79
Justin Turner,DH,440,3.335,2.476,3.407,0.499,2.246,3.098,2.544,2.515,8.78
Paul Goldschmidt,1B,486,2.976,2.215,2.696,1.248,3.642,2.635,2.187,2.5141428571428572,8.78
Brandon Nimmo*,OF,468,3.028,2.216,2.085,0.374,3.52,3.828,2.489,2.505714285714286,8.75
Jeimer Candelario#,3B,437,2.976,2.346,2.492,0.998,2.427,2.964,3.318,2.503,8.74
Bryan Reynolds#,OF,450,2.72,2.216,2.644,1.123,2.124,3.777,2.877,2.497285714285714,8.72
Nico Hoerner,2B,496,3.182,1.173,2.797,4.118,1.821,3.067,1.109,2.466714285714286,8.61
Masataka Yoshida*,OF,441,2.566,1.564,2.644,0.998,1.517,5.146,2.823,2.4654285714285713,8.61
Ian Happ#,OF,449,2.72,1.695,2.492,1.372,4.612,2.573,1.677,2.448714285714286,8.55
Ryan McMahon*,3B,453,3.028,2.737,2.696,0.624,3.156,2.14,2.701,2.4402857142857144,8.52
Adley Rutschman#,C,470,3.078,1.955,2.695,0.125,3.945,3.335,1.839,2.4245714285714284,8.46
Bryson Stott*,2B,465,2.617,1.564,2.238,2.995,1.578,3.869,2.105,2.423714285714286,8.46
Jorge Soler,DH,449,3.028,4.171,2.695,0.125,3.035,0.813,2.959,2.403714285714286,8.39
Max Muncy*,3B,361,2.976,3.779,3.306,0.125,3.884,0.0,2.647,2.388142857142857,8.34
Bo Bichette,SS,472,2.052,2.216,2.695,0.374,0.668,4.91,3.797,2.3874285714285715,8.33
Gunnar Henderson*,3B,415,3.028,2.737,2.543,0.873,2.549,1.996,2.971,2.3852857142857142,8.33
TJ Friedl*,OF,381,2.155,1.304,1.881,2.995,1.578,4.23,2.43,2.3675714285714284,8.26
James Outman*,OF,373,2.72,1.825,2.237,1.747,2.792,3.098,2.133,2.3645714285714283,8.25
Josh Jung,3B,427,2.976,2.867,2.798,0.125,1.396,3.118,3.237,2.3595714285714284,8.24
Gleyber Torres,2B,477,2.771,2.606,2.289,1.497,2.55,2.531,2.146,2.3414285714285716,8.17
Jake Fraley*,OF,289,1.437,1.825,2.695,2.495,1.699,3.53,2.692,2.3389999999999995,8.17
Manny Machado,3B,432,2.617,3.128,3.154,0.374,2.367,2.068,2.647,2.3364285714285713,8.16
Luis Arraez*,2B,476,2.053,0.652,2.594,0.125,1.578,6.782,2.439,2.3175714285714286,8.09
Matt McLain,SS,351,2.514,1.825,2.034,1.622,1.336,3.211,3.666,2.3154285714285714,8.08
Lars Nootbaar*,OF,329,2.463,1.434,1.475,0.998,2.974,4.24,2.561,2.306428571428572,8.05
Nathaniel Lowe*,1B,494,3.181,1.564,2.747,0.0,3.763,2.738,2.129,2.303142857142857,8.04
Marcell Ozuna,DH,397,2.72,3.519,2.645,0.0,2.246,1.852,3.049,2.2901428571428575,7.99
Jarren Duran*,OF,332,1.745,0.913,1.525,2.995,1.153,4.683,3.003,2.2881428571428573,7.99
George Springer,OF,477,2.72,1.825,2.085,1.996,2.367,3.386,1.506,2.269285714285714,7.92
Will Smith,C,362,2.873,1.955,2.848,0.249,2.792,2.841,2.268,2.260857142857143,7.89
Spencer Steer,1B,458,2.155,1.955,2.899,1.372,2.853,2.234,2.314,2.2545714285714284,7.87
Sean Murphy,C,310,2.514,2.476,2.899,0.0,2.064,2.748,3.08,2.2544285714285714,7.87
Eddie Rosario*,OF,372,2.104,2.476,2.695,0.249,1.335,3.643,3.233,2.2478571428571428,7.85
Alex Verdugo*,OF,445,3.028,1.173,1.983,0.499,2.185,4.425,2.43,2.246142857142857,7.84
Steven Kwan*,OF,507,3.335,0.522,1.678,1.996,2.852,4.158,1.118,2.237,7.81
Whit Merrifield,2B,453,2.361,1.434,2.543,2.87,1.336,3.571,1.524,2.234142857142857,7.8
Teoscar Hernández,OF,491,2.155,2.346,3.0,0.749,1.456,3.54,2.367,2.2304285714285714,7.79
Yordan Alvarez*,DH,291,2.463,2.607,2.695,0.0,2.367,2.233,3.035,2.2,7.68
Mike Trout,OF,308,2.155,2.216,1.729,0.249,2.427,3.551,3.053,2.197142857142857,7.67
Kerry Carpenter*,OF,285,1.539,2.476,2.237,0.0,1.153,4.25,3.715,2.1957142857142857,7.66
Lourdes Gurriel Jr.,OF,429,2.001,2.346,2.848,0.499,1.274,3.499,2.872,2.1912857142857143,7.65
Nolan Gorman*,2B,357,1.899,3.128,3.052,0.749,2.307,1.327,2.759,2.174428571428572,7.59
Jake Burger,3B,369,2.104,3.519,2.594,0.125,1.335,1.749,3.621,2.1495714285714285,7.5
Michael Harris II*,OF,362,2.155,1.304,1.475,2.121,1.153,4.312,2.475,2.142142857142857,7.48
Tommy Pham,OF,303,1.386,1.564,2.085,1.872,1.699,3.581,2.787,2.1391428571428572,7.47
CJ Abrams*,SS,433,2.463,1.695,2.085,4.118,0.668,1.698,2.196,2.1318571428571427,7.44
Jack Suwinski*,OF,336,1.796,2.607,2.237,0.998,3.399,1.492,2.385,2.1305714285714283,7.44
Dansby Swanson,SS,432,2.411,2.346,2.848,0.624,2.671,1.523,2.485,2.1297142857142854,7.43
Austin Hays,OF,416,2.36,1.434,2.085,0.374,1.456,4.456,2.669,2.119142857142857,7.4
Trea Turner,SS,519,2.976,1.825,2.085,2.745,1.7,1.626,1.867,2.1177142857142854,7.39
J.D. Martinez,DH,351,2.053,3.128,3.204,0.125,1.336,1.605,3.292,2.1061428571428573,7.35
Jose Siri,OF,292,1.95,2.998,2.136,1.123,0.728,2.429,3.314,2.096857142857143,7.32
William Contreras,C,403,2.719,1.564,2.543,0.125,2.246,3.118,2.164,2.0684285714285715,7.22
Jeimer Candelario#,3B,368,2.309,2.085,2.086,0.749,1.881,2.387,2.917,2.059142857142857,7.19
