Name,Pos,IP,SO,QS,W,SV,Hold,ERA,WHIP,Score,$
Spencer Strider,SP,146.1,227,15.0,14,0,0.0,3.57,1.08,1.614,14.17
Zac Gallen,SP,168.0,179,17.0,14,0,0.0,3.11,1.06,1.5337142857142856,13.46
Gerrit Cole,SP,160.1,170,18.0,10,0,0.0,3.03,1.073,1.3322857142857143,11.69
Kevin Gausman,SP,150.1,195,17.0,9,0,0.0,3.23,1.157,1.305,11.45
Félix Bautista,RP,60.1,109,0.0,8,33,0.0,1.49,0.928,1.2864285714285713,11.29
Justin Steele*,SP,138.0,133,17.0,14,0,0.0,2.8,1.174,1.2858571428571428,11.29
Pablo López,SP,158.2,191,16.0,9,0,0.0,3.69,1.134,1.2811428571428571,11.24
Logan Webb,SP,169.0,162,18.0,9,0,0.0,3.36,1.089,1.2644285714285715,11.1
Luis Castillo,SP,157.1,175,14.0,10,0,0.0,3.15,1.036,1.2531428571428571,11.0
Zach Eflin,SP,138.1,136,14.0,13,0,0.0,3.58,1.027,1.222,10.72
Corbin Burnes,SP,158.0,160,17.0,9,0,0.0,3.65,1.076,1.2211428571428569,10.72
George Kirby,SP,156.1,142,17.0,10,0,0.0,3.28,1.03,1.2158571428571427,10.67
Chris Bassitt,SP,151.2,143,16.0,12,0,0.0,3.92,1.213,1.2032857142857145,10.56
Zack Wheeler,SP,151.0,165,16.0,9,0,0.0,3.7,1.106,1.1909999999999996,10.45
Blake Snell*,SP,142.0,184,14.0,10,0,0.0,2.73,1.268,1.1805714285714288,10.36
Logan Gilbert,SP,148.0,146,14.0,11,0,0.0,3.77,1.074,1.1658571428571425,10.23
Aaron Nola,SP,160.1,165,12.0,11,0,0.0,4.49,1.154,1.1635714285714285,10.21
Mitch Keller,SP,155.2,173,14.0,10,0,0.0,4.22,1.278,1.1465714285714286,10.06
Kyle Gibson,SP,158.1,135,14.0,13,0,0.0,4.89,1.32,1.1297142857142854,9.91
Shohei Ohtani,SP,132.0,167,12.0,10,0,0.0,3.14,1.061,1.1261428571428571,9.88
Framber Valdez*,SP,154.2,153,15.0,9,0,0.0,3.55,1.125,1.1158571428571429,9.79
Freddy Peralta,SP,133.2,168,13.0,10,0,0.0,3.97,1.182,1.1158571428571429,9.79
Merrill Kelly,SP,136.1,146,15.0,10,0,0.0,2.97,1.13,1.1127142857142858,9.77
Charlie Morton,SP,141.2,157,11.0,13,0,0.0,3.37,1.384,1.0921428571428569,9.59
Jesús Luzardo*,SP,143.1,167,13.0,9,0,0.0,3.77,1.249,1.0547142857142857,9.26
Alexis Díaz,RP,55.2,76,0.0,5,34,1.0,2.26,1.042,1.0485714285714287,9.2
Dean Kremer,SP,144.0,129,13.0,12,0,0.0,4.31,1.292,1.0374285714285716,9.1
Devin Williams,RP,48.1,72,0.0,7,30,0.0,1.49,0.952,1.0247142857142857,8.99
Joe Ryan,SP,126.0,152,12.0,9,0,0.0,4.43,1.135,0.9952857142857142,8.74
Camilo Doval,RP,55.1,75,0.0,5,33,0.0,3.09,1.139,0.9915714285714287,8.7
Kodai Senga,SP,129.2,154,11.0,10,0,0.0,3.19,1.249,0.9847142857142857,8.64
José Berríos,SP,152.0,144,12.0,9,0,0.0,3.55,1.217,0.9657142857142856,8.48
Shane McClanahan*,SP,115.0,121,12.0,11,0,0.0,3.29,1.183,0.9455714285714285,8.3
Nathan Eovaldi,SP,123.2,111,11.0,11,0,0.0,2.69,1.011,0.9438571428571431,8.28
Tanner Scott*,RP,58.0,82,0.0,6,2,24.0,2.64,1.103,0.9424285714285714,8.27
Marcus Stroman,SP,128.2,111,15.0,10,0,0.0,3.85,1.236,0.9414285714285715,8.26
Taijuan Walker,SP,136.2,113,10.0,13,0,0.0,4.02,1.288,0.9368571428571428,8.22
Matt Brash,RP,54.1,88,0.0,9,4,16.0,3.31,1.344,0.9357142857142858,8.21
Lucas Giolito,SP,148.0,159,13.0,7,0,0.0,4.32,1.27,0.9334285714285714,8.19
Clayton Kershaw*,SP,107.1,115,11.0,11,0,0.0,2.52,1.016,0.9332857142857142,8.19
Kyle Finnegan,RP,56.2,56,0.0,6,23,8.0,2.86,1.147,0.9307142857142855,8.17
Bryce Elder,SP,143.1,103,14.0,10,0,0.0,3.39,1.2,0.9131428571428571,8.01
Craig Kimbrel,RP,54.0,73,0.0,7,19,4.0,3.33,0.981,0.8967142857142856,7.87
Kyle Bradish,SP,127.2,122,13.0,8,0,0.0,3.03,1.104,0.8792857142857142,7.72
Hector Neris,RP,52.2,62,0.0,6,2,25.0,2.05,1.139,0.8769999999999999,7.7
Hunter Brown,SP,128.0,143,11.0,9,0,0.0,4.5,1.336,0.8724285714285716,7.66
Julio Urías*,SP,106.1,104,11.0,11,0,0.0,4.15,1.091,0.8717142857142857,7.65
Jordan Romano,RP,45.0,56,0.0,4,31,2.0,2.6,1.156,0.866142857142857,7.6
Sandy Alcantara,SP,171.0,144,12.0,6,0,0.0,4.16,1.193,0.8607142857142857,7.55
Erik Swanson,RP,56.2,67,0.0,3,4,27.0,3.18,1.094,0.853,7.49
Brayan Bello,SP,126.1,104,13.0,10,0,0.0,3.56,1.282,0.8460000000000001,7.42
Yusei Kikuchi*,SP,133.0,138,9.0,9,0,0.0,3.52,1.226,0.8412857142857142,7.38
Sonny Gray,SP,143.0,147,12.0,6,0,0.0,3.15,1.21,0.8362857142857142,7.34
Eduardo Rodriguez*,SP,113.0,115,10.0,9,0,0.0,3.03,1.08,0.8079999999999999,7.09
Joel Payamps,RP,58.1,66,0.0,4,3,22.0,1.85,0.874,0.8078571428571429,7.09
Yu Darvish,SP,132.1,138,10.0,8,0,0.0,4.35,1.285,0.802142857142857,7.04
Carlos Estévez,RP,51.0,63,0.0,5,26,2.0,3.53,1.49,0.7994285714285713,7.02
Bryan Abreu,RP,59.0,85,0.0,3,4,21.0,2.14,1.102,0.799142857142857,7.01
Ian Gibaut,RP,60.0,54,0.0,8,1,19.0,3.15,1.2,0.7965714285714285,6.99
Dane Dunning,SP,132.2,101,10.0,9,0,2.0,3.19,1.161,0.7951428571428573,6.98
Tyler Rogers,RP,61.0,50,0.0,4,2,26.0,2.66,1.049,0.7905714285714286,6.94
Ryan Pressly,RP,55.1,60,0.0,3,28,0.0,2.77,0.922,0.7788571428571428,6.84
Joe Musgrove,SP,97.1,97,11.0,10,0,0.0,3.05,1.14,0.7778571428571429,6.83
Johan Oviedo,SP,145.1,129,12.0,7,0,0.0,4.46,1.328,0.7737142857142859,6.79
Yennier Cano,RP,61.0,57,0.0,1,4,28.0,1.62,0.984,0.7727142857142857,6.78
Patrick Corbin*,SP,149.1,104,13.0,9,0,0.0,4.7,1.473,0.7475714285714287,6.56
Cristian Javier,SP,127.1,115,9.0,9,0,0.0,4.52,1.257,0.7418571428571428,6.51
Alex Lange,RP,49.2,63,0.0,5,19,5.0,3.62,1.349,0.7367142857142858,6.47
David Bednar,RP,53.0,61,0.0,3,27,0.0,2.04,1.113,0.7332857142857142,6.44
Tanner Bibee,SP,113.2,112,9.0,9,0,0.0,3.01,1.205,0.732857142857143,6.43
Emmanuel Clase,RP,56.1,53,0.0,1,33,0.0,3.04,1.172,0.7298571428571429,6.41
David Robertson,RP,53.0,56,0.0,4,18,7.0,2.89,1.113,0.7232857142857141,6.35
Jon Gray,SP,131.2,111,10.0,8,0,0.0,3.76,1.23,0.7212857142857143,6.33
Dylan Cease,SP,138.0,163,10.0,5,0,0.0,4.5,1.413,0.719,6.31
Trevor Stephan,RP,54.1,59,0.0,5,2,20.0,2.82,1.196,0.7145714285714285,6.27
Mark Leiter Jr.,RP,54.1,70,0.0,1,4,23.0,2.82,0.939,0.7121428571428571,6.25
Kenley Jansen,RP,41.2,50,0.0,3,29,0.0,2.81,1.2,0.7084285714285714,6.22
Colin Poche*,RP,46.1,43,0.0,9,1,15.0,2.53,1.187,0.7061428571428572,6.2
Jason Adam,RP,52.0,67,0.0,4,11,10.0,2.77,1.0,0.6985714285714286,6.13
Graham Ashcraft,SP,134.0,100,14.0,7,0,0.0,4.84,1.381,0.6978571428571428,6.12
Bailey Ober,SP,118.2,116,11.0,6,0,0.0,3.41,1.121,0.6977142857142857,6.12
Michael Wacha,SP,96.0,85,9.0,10,0,0.0,2.63,1.073,0.6964285714285715,6.11
